Constraint,Contingency,Hrs,% Hrs,Total $,Avg $,Max $,Constraint,,Map this to EQ code from mapping document,Mapped monitored lines from bus,Mapped monitored lines from bus Name,Mapped monitored lines To bus,Mapped monitored lines from bus Name,Contingency from bus number,Contingency From bus name,Contingency To bus number,Contingency to bus name
TNAF-16TH_ST 138KV TNAF_TNFS_1,SPIGSOL8,3,0.40%,$0.00,$0.00,$0.00,TNAF-16TH_ST,138KV,TNAF_TNFS_1,38310,TN16TH_ST_1,38340,TNAIRPORT41,60385,SOLSTIC,60393,PIGCREE
CMNSW-CMNTP 138KV 651__B,SCMNCPS5,3,0.40%,$0.00,$0.00,$0.00,CMNSW-CMNTP,138KV,651__B,1441,COMCHESS1_8,1650,COMANCHE_T8,1440,COMCHESS,1900,COMCHPKW
COLETO-ROSATA 138KV COLETO_ROSATA1_1,DELMSAN5,3,0.40%,$0.00,$0.00,$0.00,COLETO-ROSATA,138KV,COLETO_ROSATA1_1,8162,COLETO4A,88153,ROSATATP4A,5133,ELMCREEK,5901,MIGUEL5
L_463S-VICTORIA 138KV LOOP_VICTORIA1,DVICEDN8,3,0.40%,$0.00,$0.00,$0.00,L_463S-VICTORIA,138KV,LOOP_VICTORIA1,#N/A,#N/A,#N/A,#N/A,8125,LOLITA4A,8172,VICTORIA
VERS 138KV VERS_69_1,XOKL58,2,0.27%,"$1,750.00",$2.35,"$1,166.67",VERS,138KV,VERS_69_1,#N/A,#N/A,#N/A,#N/A,6095,OK1DUM,1,6097
YELWJCKT-HEXT 69KV HEXT_YELWJC1_1,SEDEYEL9,2,0.27%,"$1,333.33",$1.79,$833.33,YELWJCKT-HEXT,69KV,HEXT_YELWJC1_1,6363,YELWJCKT2A,6368,HEXT2A,6363,YELWJCKT,6372,EDEN2A
CONCHO-VRBS 69KV CONCHO_VRBS1_1,XBAL89,2,0.27%,"$1,184.17",$1.59,$950.84,CONCHO-VRBS,69KV,CONCHO_VRBS1_1,6409,VRBS2A,6450,CONCHO2A,6338,BALLINGE,69,6340
MV_BURNS-MV_HBRG4 138KV BURNS_HEIDLBRG_1,BASE CASE,2,0.27%,$204.78,$0.28,$204.78,MV_BURNS-MV_HBRG4,138KV,BURNS_HEIDLBRG_1,5763,BURNSSUB8,5765,HEIDLBRGSUB8,#N/A,#N/A,#N/A,#N/A
SN-STR 138KV SN_STR26_A,DJCKCPR8,2,0.27%,$0.00,$0.00,$0.00,SN-STR,138KV,SN_STR26_A,43240,SINTEK_X26B8,43300,STRATT_X26B8,5568,FRANKLNC,43221,SEAWAY_
LWSVW-LWVTI 138KV 588_A_1,SLWSCRL5,2,0.27%,$0.00,$0.00,$0.00,LWSVW-LWVTI,138KV,588_A_1,37060,TNWEST____1,37080,TNTI______1,646,LEWISVLSW,2361,CRLTN_NW
HICKRY_D-LOCUST_D 69KV HIC_LOCU_1,SSPNDEN9,2,0.27%,$0.00,$0.00,$0.00,HICKRY_D-LOCUST_D,69KV,HIC_LOCU_1,910,HICKORY69,914,LOCUST69,981,SPNCRINT6,69,982
GILLES-FRPHILLT 69KV FRPHIL_GILLES1_1,XYEL89,1,0.13%,$233.33,$0.31,$233.33,GILLES-FRPHILLT,69KV,FRPHIL_GILLES1_1,6392,FRPHILLT2A,7130,L_GILLES9_1Y,6363,YELWJCKT,69,6364
FRPHILLT-MASN 69KV FRPHIL_MASN1_1,XYEL89,1,0.13%,$233.33,$0.31,$233.33,FRPHILLT-MASN,69KV,FRPHIL_MASN1_1,6392,FRPHILLT2A,6393,MASN2A,6363,YELWJCKT,69,6364
FBPOI-CRKET 138KV 1230__B,DTRSENT5,1,0.13%,$4.76,$0.01,$4.76,FBPOI-CRKET,138KV,1230__B,#N/A,#N/A,#N/A,#N/A,3109,STRYKER_,3123,TRINDAD1
NEDIN 1KV NEDIN_138L,BASE CASE,1,0.13%,$0.00,$0.00,$0.00,NEDIN,1KV,NEDIN_138L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BWNT2-VGCRK 138KV 6300__C,BASE CASE,1,0.13%,$0.00,$0.00,$0.00,BWNT2-VGCRK,138KV,6300__C,2232,BOWEN2_T8,2234,VILGCRK1_8,#N/A,#N/A,#N/A,#N/A
SONR 138KV SONR_69-1,XHAM88,1,0.13%,$0.00,$0.00,$0.00,SONR,138KV,SONR_69-1,#N/A,#N/A,#N/A,#N/A,8255,HAMILTON,138,8257
ALVIN-MAINLAND 138KV 138_ALV_MNL_1,DPHRAL58,1,0.13%,$0.00,$0.00,$0.00,ALVIN-MAINLAND,138KV,138_ALV_MNL_1,38830,TNMAINLAND1,39030,TNALVIN___1,42015,P_H_R__,42061,ALTA_L_
